;Time Interval;Average Packet Size;Average Packet Intervals;Inbound Packets;Outbound Packets;Total Packets;Persona
358;(179.0, 179.5);830.7898550724638;0.0035722971014492738;76;62;138;1
359;(179.5, 180.0);884.4186046511628;0.0036375968992248056;66;63;129;1
360;(180.0, 180.5);855.1129032258065;0.003978548387096774;64;60;124;1
361;(180.5, 181.0);881.1583333333333;0.003949691666666665;63;57;120;0
362;(181.0, 181.5);883.2932330827068;0.003713714285714282;69;64;133;0
363;(181.5, 182.0);910.703125;0.003612406249999999;68;60;128;0
364;(182.0, 182.5);911.7;0.003881876923076923;62;68;130;0
365;(182.5, 183.0);878.9798657718121;0.003292657718120804;79;70;149;0
366;(183.0, 183.5);908.6929133858267;0.003968212598425195;65;62;127;0
367;(183.5, 184.0);998.9469696969697;0.00353110606060606;71;61;132;0
368;(184.0, 184.5);1023.0;0.003776283582089553;72;62;134;0
369;(184.5, 185.0);1009.2;0.0037177384615384606;68;62;130;0
370;(185.0, 185.5);982.6616541353384;0.0037949699248120295;71;62;133;0
