,Time Interval,Average Packet Size,Standard Deviation Packet Size,Median Packet Size,Average Packet Intervals,Standard Deviation Packet Intervals,Median Packet Intervals,Inbound Packets,Outbound Packets,Total Packets,Cluster,Persona
558,"(279.0, 279.5)",835.9545454545455,188.03793226361265,833.5,0.004362327272727272,0.005692251177688101,0.0009145,65,45,110,1,1
559,"(279.5, 280.0)",836.0754716981132,250.4046895237581,843.0,0.004679971698113206,0.0058094857922728355,0.0014145,63,43,106,1,1
560,"(280.0, 280.5)",772.0,217.02659673256733,792.0,0.004681153846153845,0.0056714679026047855,0.000924,62,42,104,1,1
561,"(280.5, 281.0)",820.6140350877192,278.9945128642367,840.0,0.00420742105263158,0.00514490575245813,0.0007405000000000001,65,49,114,1,1
562,"(281.0, 281.5)",879.2056074766355,211.96011276233517,813.0,0.004756028037383175,0.005371418674305531,0.00162,60,47,107,1,1
563,"(281.5, 282.0)",885.3628318584069,197.64506706408363,892.0,0.004285088495575223,0.004635003042758908,0.002448,66,47,113,1,1
564,"(282.0, 282.5)",835.6727272727272,202.33558776216938,837.5,0.004605981818181818,0.005805310101606388,0.0012230000000000001,63,47,110,1,1
565,"(282.5, 283.0)",874.7068965517243,183.44647447008148,856.0,0.004145258620689655,0.0048857539102644286,0.0010395,68,48,116,1,1
566,"(283.0, 283.5)",850.1619047619048,210.17246232419208,827.0,0.004648028571428569,0.0055491006867661105,0.002141,62,43,105,1,1
567,"(283.5, 284.0)",885.2051282051282,204.22462862983016,872.0,0.004224076923076925,0.0050445486181890644,0.000877,69,48,117,1,1
568,"(284.0, 284.5)",852.9243697478993,271.4555293249383,852.0,0.0040366302521008405,0.004723724447799434,0.000739,68,51,119,1,1
569,"(284.5, 285.0)",898.3615384615384,233.90778690075425,897.0,0.003747215384615382,0.004691508150738271,0.0008449999999999999,63,67,130,1,1
570,"(285.0, 285.5)",919.2777777777777,183.38722480647945,918.0,0.003937650793650792,0.0047578028917851746,0.0010195,61,65,126,1,1
571,"(285.5, 286.0)",959.4580152671756,167.33238500026442,966.0,0.003740824427480915,0.0047052970534542105,0.000629,63,68,131,1,1
572,"(286.0, 286.5)",946.9850746268656,161.56741580760118,965.0,0.0036880000000000007,0.004509693270999287,0.0006360000000000001,67,67,134,1,1
